,class 1,class 2,class 3,class 4,class
128,I,N,F,J,INFJ
129,I,N,F,J,INFJ
130,E,N,T,J,ENTJ
131,I,S,F,J,ISFJ
132,I,N,F,P,INFP
133,I,N,F,J,INFJ
134,I,N,T,P,INTP
135,I,N,F,J,INFJ
136,I,N,F,P,INFP
137,I,N,T,P,INTP
138,I,N,F,P,INFP
139,I,S,F,P,ISFP
140,I,N,T,P,INTP
141,I,N,F,P,INFP
142,E,N,F,P,ENFP
143,E,N,F,P,ENFP
144,E,N,T,P,ENTP
145,I,N,F,J,INFJ
146,I,N,F,J,INFJ
147,E,N,T,P,ENTP
148,I,N,F,P,INFP
149,I,N,F,P,INFP
150,I,N,T,P,INTP
151,I,N,F,J,INFJ
152,E,N,F,P,ENFP
153,E,N,F,P,ENFP
154,I,N,T,P,INTP
155,E,N,T,P,ENTP
156,I,N,T,J,INTJ
157,I,N,T,P,INTP
158,E,N,T,P,ENTP
159,E,N,F,P,ENFP
160,E,S,T,P,ESTP
161,I,N,T,J,INTJ
162,I,N,T,P,INTP
163,E,N,T,P,ENTP
164,I,N,F,P,INFP
165,I,N,F,J,INFJ
166,I,N,F,J,INFJ
167,I,N,T,J,INTJ
168,E,N,F,P,ENFP
169,I,N,T,J,INTJ
170,I,N,T,J,INTJ
171,I,N,T,P,INTP
172,I,S,F,J,ISFJ
173,I,N,T,P,INTP
174,I,S,T,P,ISTP
175,I,N,T,P,INTP
176,I,N,T,P,INTP
177,I,N,T,P,INTP
178,I,N,T,P,INTP
179,I,N,F,P,INFP
180,E,N,T,P,ENTP
181,I,N,F,P,INFP
182,I,N,T,P,INTP
183,I,N,T,J,INTJ
184,E,N,T,P,ENTP
185,I,N,F,J,INFJ
186,I,N,T,J,INTJ
187,I,N,T,P,INTP
188,I,S,T,P,ISTP
189,I,S,T,J,ISTJ
190,I,N,F,P,INFP
191,I,N,T,J,INTJ
192,E,N,F,P,ENFP
193,I,N,F,P,INFP
194,I,N,T,P,INTP
195,I,N,T,J,INTJ
196,I,N,T,J,INTJ
197,I,N,F,P,INFP
198,I,N,T,P,INTP
199,I,N,T,P,INTP
200,E,S,F,P,ESFP
201,I,N,T,J,INTJ
202,I,S,F,P,ISFP
203,I,N,F,J,INFJ
204,I,N,T,J,INTJ
205,I,N,T,J,INTJ
206,I,N,T,P,INTP
207,I,N,T,P,INTP
208,I,N,F,P,INFP
209,E,N,F,P,ENFP
210,I,N,F,P,INFP
211,I,N,F,P,INFP
212,I,N,F,P,INFP
213,I,N,F,P,INFP
214,I,N,T,P,INTP
215,I,N,T,P,INTP
216,I,N,F,P,INFP
217,I,N,F,P,INFP
218,I,N,F,P,INFP
219,I,N,F,J,INFJ
220,E,N,F,P,ENFP
221,I,N,T,J,INTJ
222,I,N,F,J,INFJ
223,I,N,F,J,INFJ
224,E,N,T,P,ENTP
225,I,N,T,P,INTP
226,I,N,T,P,INTP
227,I,N,F,P,INFP
228,I,N,F,P,INFP
229,I,N,F,J,INFJ
230,I,N,T,P,INTP
231,I,N,F,P,INFP
232,I,N,T,P,INTP
233,I,N,F,P,INFP
234,I,N,F,J,INFJ
235,E,N,F,J,ENFJ
236,I,S,T,P,ISTP
237,I,N,T,J,INTJ
238,I,N,F,P,INFP
239,I,S,F,P,ISFP
240,E,N,T,J,ENTJ
241,E,N,T,P,ENTP
242,I,S,F,P,ISFP
243,E,N,F,P,ENFP
244,I,N,F,P,INFP
245,E,N,F,P,ENFP
246,E,N,T,P,ENTP
247,I,N,F,P,INFP
248,I,N,F,P,INFP
249,I,S,F,P,ISFP
250,I,N,F,P,INFP
251,I,N,F,J,INFJ
252,E,N,T,P,ENTP
253,I,N,F,P,INFP
254,I,S,T,P,ISTP
255,I,N,T,J,INTJ
256,I,N,T,P,INTP
257,I,N,F,J,INFJ
258,I,S,T,J,ISTJ
259,I,N,T,J,INTJ
260,I,N,F,P,INFP
261,I,N,F,J,INFJ
262,I,N,T,J,INTJ
263,E,N,F,J,ENFJ
264,I,N,F,P,INFP
265,I,N,F,P,INFP
266,I,S,T,J,ISTJ
267,I,S,T,J,ISTJ
268,I,S,F,P,ISFP
269,I,N,F,P,INFP
270,I,N,F,J,INFJ
271,I,N,F,P,INFP
272,I,N,T,P,INTP
273,I,N,F,P,INFP
274,I,N,T,P,INTP
275,I,N,T,J,INTJ
276,I,N,T,J,INTJ
277,I,N,F,J,INFJ
278,I,N,F,P,INFP
279,I,N,T,P,INTP
280,I,N,T,J,INTJ
281,E,N,F,P,ENFP
282,I,N,F,P,INFP
283,I,N,T,P,INTP
284,E,N,T,J,ENTJ
285,I,N,T,J,INTJ
286,I,N,F,J,INFJ
287,I,N,F,P,INFP
288,E,N,T,J,ENTJ
289,I,N,T,P,INTP
290,I,N,T,P,INTP
291,I,N,F,P,INFP
292,I,N,T,P,INTP
293,E,N,T,P,ENTP
294,I,N,T,J,INTJ
295,I,N,T,P,INTP
296,I,N,T,J,INTJ
297,I,N,F,P,INFP
298,I,N,F,J,INFJ
299,I,N,F,J,INFJ
300,I,N,F,P,INFP
301,E,N,F,P,ENFP
302,I,N,T,P,INTP
303,I,S,T,P,ISTP
304,I,N,T,J,INTJ
305,E,N,F,P,ENFP
306,E,N,F,P,ENFP
307,E,N,T,P,ENTP
308,I,N,T,P,INTP
309,I,N,F,J,INFJ
310,I,N,T,J,INTJ
311,I,N,F,P,INFP
312,E,N,F,P,ENFP
313,E,N,F,J,ENFJ
314,E,N,T,P,ENTP
315,I,S,F,P,ISFP
316,I,N,F,P,INFP
317,I,N,F,P,INFP
318,I,N,F,P,INFP
319,I,N,T,J,INTJ
320,E,N,T,P,ENTP
321,E,N,T,P,ENTP
322,I,N,T,P,INTP
323,I,N,T,P,INTP
324,I,N,F,J,INFJ
325,I,N,F,J,INFJ
326,I,N,T,P,INTP
327,E,N,F,P,ENFP
328,I,N,F,P,INFP
329,I,N,T,J,INTJ
330,I,N,T,J,INTJ
331,I,N,F,P,INFP
332,I,N,F,P,INFP
333,I,N,F,P,INFP
334,I,S,F,P,ISFP
335,I,S,F,J,ISFJ
336,I,N,F,P,INFP
337,I,N,T,P,INTP
338,I,N,F,P,INFP
339,I,N,T,J,INTJ
340,I,N,T,J,INTJ
341,E,N,T,P,ENTP
342,E,N,F,J,ENFJ
343,I,S,F,J,ISFJ
344,I,N,T,P,INTP
345,I,S,F,P,ISFP
346,E,S,T,P,ESTP
347,I,N,F,P,INFP
348,I,N,T,P,INTP
349,I,N,T,J,INTJ
350,I,N,F,P,INFP
351,I,N,T,J,INTJ
352,I,N,F,P,INFP
353,I,N,F,P,INFP
354,I,N,F,J,INFJ
355,I,N,F,P,INFP
356,E,N,T,P,ENTP
357,I,N,T,P,INTP
358,I,N,T,P,INTP
359,I,N,F,J,INFJ
360,E,N,F,P,ENFP
361,I,N,T,J,INTJ
362,E,N,T,P,ENTP
363,E,N,F,P,ENFP
364,I,N,F,J,INFJ
365,I,S,T,J,ISTJ
366,I,N,F,P,INFP
367,I,N,F,P,INFP
368,I,N,F,P,INFP
369,I,N,T,J,INTJ
370,I,N,T,J,INTJ
371,I,N,F,P,INFP
372,I,N,F,J,INFJ
373,I,N,F,P,INFP
374,I,N,F,P,INFP
375,E,N,T,P,ENTP
376,I,N,T,J,INTJ
377,I,N,F,P,INFP
378,I,N,T,J,INTJ
379,I,N,T,J,INTJ
380,I,N,F,P,INFP
381,E,N,F,P,ENFP
382,I,S,T,P,ISTP
383,I,N,F,P,INFP
384,I,S,F,P,ISFP
385,I,N,F,P,INFP
386,E,N,F,P,ENFP
387,E,N,T,J,ENTJ
388,E,N,F,P,ENFP
389,I,N,F,J,INFJ
390,I,N,F,J,INFJ
391,I,S,F,P,ISFP
392,I,N,F,P,INFP
393,I,N,T,P,INTP
394,E,S,T,P,ESTP
395,E,N,T,P,ENTP
396,E,N,F,P,ENFP
397,I,N,F,P,INFP
398,I,N,F,P,INFP
399,I,N,F,J,INFJ
400,I,N,T,J,INTJ
401,I,S,F,P,ISFP
402,I,N,F,J,INFJ
403,I,S,F,P,ISFP
404,I,N,F,P,INFP
405,E,N,F,P,ENFP
406,I,N,T,P,INTP
407,I,N,F,P,INFP
408,I,N,F,J,INFJ
409,E,N,F,P,ENFP
410,I,N,F,P,INFP
411,I,N,F,J,INFJ
412,I,N,T,P,INTP
413,I,N,F,J,INFJ
414,I,N,F,J,INFJ
415,I,S,F,J,ISFJ
416,I,N,F,J,INFJ
417,I,N,F,P,INFP
418,I,N,F,J,INFJ
419,I,N,F,P,INFP
420,I,N,T,P,INTP
421,E,N,T,P,ENTP
422,I,N,T,P,INTP
423,I,N,F,J,INFJ
424,I,N,F,J,INFJ
425,I,N,T,J,INTJ
426,I,N,F,P,INFP
427,I,N,F,P,INFP
428,E,N,F,P,ENFP
429,I,N,F,P,INFP
430,E,S,F,P,ESFP
431,I,S,T,P,ISTP
432,I,N,F,P,INFP
433,I,N,T,P,INTP
434,I,N,F,J,INFJ
435,E,N,F,J,ENFJ
436,I,N,F,P,INFP
437,E,N,T,P,ENTP
438,I,N,T,J,INTJ
439,I,N,F,J,INFJ
440,I,N,F,J,INFJ
441,I,N,T,P,INTP
442,I,S,T,P,ISTP
443,E,N,F,P,ENFP
444,E,N,F,P,ENFP
445,E,N,F,P,ENFP
446,E,N,F,J,ENFJ
447,E,S,T,P,ESTP
448,I,N,F,J,INFJ
449,I,N,T,J,INTJ
450,E,N,T,P,ENTP
451,I,N,F,P,INFP
452,I,N,F,P,INFP
453,I,N,T,P,INTP
454,I,N,F,P,INFP
455,I,N,T,J,INTJ
456,E,N,T,P,ENTP
457,I,N,T,P,INTP
458,I,S,T,J,ISTJ
459,I,N,T,J,INTJ
460,I,N,T,J,INTJ
461,I,N,T,J,INTJ
462,E,N,F,P,ENFP
463,I,S,T,P,ISTP
464,I,N,T,J,INTJ
465,I,N,F,J,INFJ
466,I,N,F,J,INFJ
467,I,N,F,P,INFP
468,I,N,F,J,INFJ
469,I,N,F,P,INFP
470,E,N,F,P,ENFP
471,E,N,T,P,ENTP
472,I,N,F,J,INFJ
473,I,N,F,P,INFP
474,I,S,T,P,ISTP
475,I,N,F,J,INFJ
476,E,S,T,P,ESTP
477,E,N,F,P,ENFP
478,I,S,T,P,ISTP
479,I,N,F,P,INFP
480,I,N,F,J,INFJ
481,I,N,F,P,INFP
482,I,N,T,J,INTJ
483,E,N,F,P,ENFP
484,I,N,F,J,INFJ
485,I,N,T,P,INTP
486,I,N,T,J,INTJ
487,I,N,T,P,INTP
488,E,N,F,P,ENFP
489,I,N,F,P,INFP
490,E,N,T,J,ENTJ
491,I,N,T,P,INTP
492,I,N,F,P,INFP
493,I,N,T,P,INTP
494,I,N,T,P,INTP
495,I,N,F,P,INFP
496,I,N,F,J,INFJ
497,E,N,T,P,ENTP
498,I,N,F,J,INFJ
499,I,N,T,J,INTJ
500,I,N,T,J,INTJ
501,I,N,F,J,INFJ
502,E,N,T,P,ENTP
503,I,N,T,J,INTJ
504,I,N,F,P,INFP
505,I,N,T,P,INTP
506,I,N,F,P,INFP
507,I,S,F,P,ISFP
508,I,S,F,P,ISFP
509,I,S,T,P,ISTP
510,I,N,T,P,INTP
511,I,N,T,J,INTJ
512,I,N,F,J,INFJ
513,E,N,T,J,ENTJ
514,I,N,T,J,INTJ
515,I,N,F,J,INFJ
516,E,N,F,J,ENFJ
517,I,N,T,J,INTJ
518,I,N,F,J,INFJ
519,E,N,T,J,ENTJ
520,I,N,T,P,INTP
521,I,N,T,J,INTJ
522,I,N,T,J,INTJ
523,I,S,T,P,ISTP
524,I,N,F,J,INFJ
525,I,N,F,P,INFP
526,I,N,F,P,INFP
527,I,N,T,P,INTP
528,I,N,T,P,INTP
529,E,S,F,P,ESFP
530,I,N,F,J,INFJ
531,I,N,T,P,INTP
532,I,N,F,J,INFJ
533,I,S,F,J,ISFJ
534,E,N,T,J,ENTJ
535,I,N,F,P,INFP
536,E,N,T,P,ENTP
537,I,N,F,P,INFP
538,E,N,F,J,ENFJ
539,I,N,F,P,INFP
540,I,N,F,P,INFP
541,E,N,F,P,ENFP
542,I,N,F,P,INFP
543,I,S,F,J,ISFJ
544,I,N,T,J,INTJ
545,I,N,F,J,INFJ
546,E,S,T,J,ESTJ
547,I,N,F,J,INFJ
548,I,N,T,P,INTP
549,I,N,F,P,INFP
550,I,S,F,J,ISFJ
551,I,N,F,J,INFJ
552,E,N,T,P,ENTP
553,E,N,T,J,ENTJ
554,E,N,T,P,ENTP
555,I,N,T,J,INTJ
556,I,N,F,P,INFP
557,I,N,F,P,INFP
558,I,N,F,J,INFJ
559,I,N,T,J,INTJ
560,I,N,T,J,INTJ
561,I,N,T,P,INTP
562,I,N,T,J,INTJ
563,I,N,F,J,INFJ
564,I,N,F,P,INFP
565,E,N,T,P,ENTP
566,E,N,T,J,ENTJ
567,I,S,T,P,ISTP
568,I,N,F,P,INFP
569,E,N,F,P,ENFP
570,I,S,T,P,ISTP
571,I,N,T,P,INTP
572,I,N,F,P,INFP
573,I,N,F,J,INFJ
574,I,N,F,J,INFJ
575,E,N,T,P,ENTP
576,I,N,F,J,INFJ
577,I,N,T,P,INTP
578,I,N,T,J,INTJ
579,I,N,F,P,INFP
580,I,N,F,P,INFP
581,I,N,F,J,INFJ
582,E,N,F,P,ENFP
583,I,S,F,P,ISFP
584,I,N,F,J,INFJ
585,I,N,T,J,INTJ
586,I,N,T,P,INTP
587,E,N,T,P,ENTP
588,E,N,F,J,ENFJ
589,E,N,T,P,ENTP
590,I,N,T,J,INTJ
591,I,N,F,P,INFP
592,E,N,F,P,ENFP
593,E,S,T,P,ESTP
594,I,N,F,P,INFP
595,E,S,T,J,ESTJ
596,I,N,F,P,INFP
597,E,N,F,P,ENFP
598,I,N,F,J,INFJ
599,I,N,F,P,INFP
600,I,N,F,P,INFP
601,I,N,T,J,INTJ
602,I,N,F,J,INFJ
603,I,N,F,P,INFP
604,I,N,T,P,INTP
605,I,N,F,P,INFP
606,I,N,T,J,INTJ
607,I,S,T,P,ISTP
608,I,N,F,P,INFP
609,I,N,F,J,INFJ
610,I,N,F,P,INFP
611,I,N,T,P,INTP
612,I,N,T,P,INTP
613,E,N,F,J,ENFJ
614,I,N,F,P,INFP
615,I,N,F,J,INFJ
616,E,N,T,P,ENTP
617,E,S,F,P,ESFP
618,I,N,T,P,INTP
619,I,N,F,P,INFP
620,I,N,F,J,INFJ
621,I,S,T,P,ISTP
622,I,N,T,J,INTJ
623,I,N,F,J,INFJ
624,E,N,F,P,ENFP
625,I,N,F,J,INFJ
626,I,N,F,P,INFP
627,E,S,F,J,ESFJ
628,I,N,F,P,INFP
629,I,N,F,J,INFJ
630,I,S,T,J,ISTJ
631,I,N,T,P,INTP
632,I,N,F,P,INFP
633,I,S,F,J,ISFJ
634,E,S,F,P,ESFP
635,I,S,T,P,ISTP
636,E,N,F,P,ENFP
637,I,N,T,J,INTJ
638,I,S,T,P,ISTP
639,E,N,T,P,ENTP
640,E,N,T,P,ENTP
641,I,N,F,P,INFP
642,I,N,T,J,INTJ
643,E,N,F,P,ENFP
644,I,N,F,P,INFP
645,I,N,T,J,INTJ
646,I,N,T,J,INTJ
647,E,N,T,P,ENTP
648,I,N,F,P,INFP
649,I,N,F,P,INFP
650,E,N,F,P,ENFP
651,E,N,F,P,ENFP
652,I,N,T,P,INTP
653,I,N,F,J,INFJ
654,I,N,T,P,INTP
655,I,N,F,P,INFP
656,I,N,F,J,INFJ
657,I,N,T,J,INTJ
658,E,N,T,P,ENTP
659,I,N,F,J,INFJ
660,I,N,T,P,INTP
661,I,N,T,P,INTP
662,I,N,F,J,INFJ
663,I,N,F,P,INFP
664,I,N,T,P,INTP
665,I,S,T,P,ISTP
666,E,N,T,P,ENTP
667,I,N,F,P,INFP
668,I,N,F,P,INFP
669,I,N,T,P,INTP
670,I,S,T,P,ISTP
671,I,N,T,P,INTP
672,I,N,F,P,INFP
673,I,N,F,P,INFP
674,E,N,T,P,ENTP
675,I,N,F,P,INFP
676,I,N,F,J,INFJ
677,E,N,T,P,ENTP
678,I,S,T,P,ISTP
679,I,N,F,P,INFP
680,I,N,F,P,INFP
681,I,N,T,J,INTJ
682,E,N,T,J,ENTJ
683,E,S,F,J,ESFJ
684,E,N,F,P,ENFP
685,I,N,F,P,INFP
686,I,N,F,J,INFJ
687,I,N,F,P,INFP
688,I,N,F,J,INFJ
689,I,N,F,J,INFJ
690,E,S,F,P,ESFP
691,I,N,F,P,INFP
692,I,N,T,J,INTJ
693,E,N,T,P,ENTP
694,E,N,T,P,ENTP
695,I,N,F,P,INFP
696,I,N,T,P,INTP
697,I,N,F,P,INFP
698,I,S,T,J,ISTJ
699,I,N,F,P,INFP
700,E,N,T,P,ENTP
701,I,N,F,J,INFJ
702,E,N,F,P,ENFP
703,E,N,F,J,ENFJ
704,I,N,T,J,INTJ
705,E,N,T,P,ENTP
706,I,N,T,P,INTP
707,I,N,F,P,INFP
708,I,N,F,P,INFP
709,E,N,F,P,ENFP
710,I,N,F,J,INFJ
711,I,N,T,J,INTJ
712,I,N,T,J,INTJ
713,I,N,F,P,INFP
714,I,N,F,J,INFJ
715,I,N,F,J,INFJ
716,I,N,T,J,INTJ
717,I,N,T,J,INTJ
718,I,N,T,P,INTP
719,I,N,F,J,INFJ
720,I,N,F,J,INFJ
721,I,N,F,P,INFP
722,I,N,F,J,INFJ
723,I,N,T,J,INTJ
724,I,N,T,P,INTP
725,I,N,F,J,INFJ
726,I,N,F,P,INFP
727,I,N,T,J,INTJ
728,I,N,T,J,INTJ
729,I,N,T,P,INTP
730,I,N,T,P,INTP
731,I,S,F,P,ISFP
732,E,S,F,P,ESFP
733,I,N,F,J,INFJ
734,I,S,F,P,ISFP
735,I,N,T,P,INTP
736,I,S,T,P,ISTP
737,E,N,T,J,ENTJ
738,E,N,F,P,ENFP
739,E,N,T,P,ENTP
740,I,N,T,J,INTJ
741,I,N,F,P,INFP
742,I,S,F,P,ISFP
743,E,S,T,P,ESTP
744,I,S,T,P,ISTP
745,I,N,F,P,INFP
746,I,N,F,J,INFJ
747,E,N,F,J,ENFJ
748,I,N,T,P,INTP
749,E,N,F,P,ENFP
750,I,N,T,P,INTP
751,I,S,T,P,ISTP
752,I,N,F,J,INFJ
753,I,N,F,P,INFP
754,I,N,T,P,INTP
755,I,N,F,J,INFJ
756,I,N,T,J,INTJ
757,I,N,F,J,INFJ
758,I,N,F,J,INFJ
759,I,N,F,J,INFJ
760,E,N,T,J,ENTJ
761,I,S,T,P,ISTP
762,I,N,F,P,INFP
763,I,N,F,J,INFJ
764,E,S,T,J,ESTJ
765,I,N,F,J,INFJ
766,I,N,T,P,INTP
767,I,N,F,P,INFP
768,I,N,F,P,INFP
769,I,N,F,P,INFP
770,I,N,T,P,INTP
771,E,N,F,P,ENFP
772,I,N,F,P,INFP
773,E,N,T,P,ENTP
774,E,N,F,P,ENFP
775,E,N,F,J,ENFJ
776,I,S,T,P,ISTP
777,I,N,F,P,INFP
778,I,N,T,J,INTJ
779,I,N,T,P,INTP
780,I,S,T,P,ISTP
781,I,N,T,J,INTJ
782,I,N,F,P,INFP
783,I,S,F,J,ISFJ
784,I,N,F,P,INFP
785,I,N,T,P,INTP
786,E,N,F,J,ENFJ
787,I,N,F,J,INFJ
788,E,N,F,P,ENFP
789,I,N,T,P,INTP
790,I,N,T,J,INTJ
791,I,N,F,J,INFJ
792,E,N,T,P,ENTP
793,E,N,F,P,ENFP
794,I,N,F,P,INFP
795,I,N,T,J,INTJ
796,I,N,F,P,INFP
797,I,N,T,J,INTJ
798,I,N,T,P,INTP
799,E,N,T,J,ENTJ
800,I,N,T,P,INTP
801,I,N,T,P,INTP
802,I,N,F,J,INFJ
803,I,N,F,J,INFJ
804,I,N,F,J,INFJ
805,I,N,T,P,INTP
806,E,N,T,P,ENTP
807,I,N,F,J,INFJ
808,I,S,T,P,ISTP
809,I,N,F,P,INFP
810,E,S,T,P,ESTP
811,I,N,T,J,INTJ
812,E,N,T,P,ENTP
813,I,N,F,P,INFP
814,E,S,F,J,ESFJ
815,I,N,F,J,INFJ
816,I,N,T,P,INTP
817,I,N,F,J,INFJ
818,I,N,T,J,INTJ
819,E,N,T,J,ENTJ
820,I,S,T,P,ISTP
821,I,N,F,J,INFJ
822,I,N,F,J,INFJ
823,I,S,T,P,ISTP
824,I,N,T,P,INTP
825,E,N,T,P,ENTP
826,I,N,F,P,INFP
827,E,N,F,P,ENFP
828,E,N,T,J,ENTJ
829,I,N,T,P,INTP
830,E,N,T,J,ENTJ
831,I,N,T,P,INTP
832,I,S,T,P,ISTP
833,I,N,F,P,INFP
834,E,N,T,J,ENTJ
835,I,N,T,J,INTJ
836,I,N,F,P,INFP
837,I,N,F,P,INFP
838,E,N,T,P,ENTP
839,E,N,F,J,ENFJ
840,I,N,T,J,INTJ
841,I,N,T,P,INTP
842,I,N,T,P,INTP
843,I,N,T,P,INTP
844,I,N,T,P,INTP
845,I,N,F,P,INFP
846,E,N,T,J,ENTJ
847,I,N,T,P,INTP
848,I,N,T,P,INTP
849,I,N,T,J,INTJ
850,I,N,T,J,INTJ
851,I,N,T,J,INTJ
852,I,N,T,J,INTJ
853,I,N,F,P,INFP
854,E,S,T,P,ESTP
855,I,N,T,P,INTP
856,I,N,F,P,INFP
857,I,N,F,J,INFJ
858,I,S,T,P,ISTP
859,I,N,T,P,INTP
860,I,N,F,P,INFP
861,I,N,F,P,INFP
862,I,N,F,J,INFJ
863,I,N,T,J,INTJ
864,I,N,T,P,INTP
865,I,N,F,J,INFJ
866,E,N,F,P,ENFP
867,E,N,T,J,ENTJ
868,I,N,T,P,INTP
869,I,N,T,J,INTJ
870,I,N,T,P,INTP
871,I,S,T,P,ISTP
872,I,N,F,P,INFP
873,I,N,F,P,INFP
874,I,N,F,P,INFP
875,E,N,T,P,ENTP
876,I,N,F,P,INFP
877,I,N,T,J,INTJ
878,I,N,F,P,INFP
879,I,N,T,J,INTJ
880,I,N,F,J,INFJ
881,I,N,F,P,INFP
882,I,N,T,J,INTJ
883,I,N,F,P,INFP
884,E,N,F,P,ENFP
885,E,S,T,P,ESTP
886,I,S,F,P,ISFP
887,I,N,T,P,INTP
888,E,N,F,P,ENFP
889,I,N,T,J,INTJ
890,I,N,F,P,INFP
891,I,N,T,P,INTP
892,I,N,F,P,INFP
893,I,N,T,P,INTP
894,I,N,F,J,INFJ
895,I,N,T,P,INTP
896,I,N,F,J,INFJ
897,I,N,F,P,INFP
898,I,S,T,P,ISTP
899,I,N,T,J,INTJ
900,I,N,F,J,INFJ
901,I,N,T,P,INTP
902,I,N,T,P,INTP
903,I,N,T,P,INTP
904,I,N,T,J,INTJ
905,I,N,F,P,INFP
906,I,N,F,J,INFJ
907,I,N,T,P,INTP
908,E,N,T,P,ENTP
909,I,N,F,P,INFP
910,I,N,F,P,INFP
911,I,N,F,J,INFJ
912,I,N,F,P,INFP
913,I,N,F,P,INFP
914,E,S,F,J,ESFJ
915,I,N,F,P,INFP
916,I,N,T,J,INTJ
917,I,N,F,P,INFP
918,E,N,F,P,ENFP
919,I,N,F,P,INFP
920,I,N,F,P,INFP
921,I,N,F,P,INFP
922,E,N,T,P,ENTP
923,I,S,T,P,ISTP
924,I,N,F,J,INFJ
925,I,N,F,P,INFP
926,I,S,F,P,ISFP
927,I,N,F,P,INFP
928,I,S,T,P,ISTP
929,I,N,F,J,INFJ
930,E,N,F,J,ENFJ
931,I,N,T,J,INTJ
932,I,N,F,J,INFJ
933,I,N,F,P,INFP
934,I,N,F,P,INFP
935,E,N,T,P,ENTP
936,I,N,F,J,INFJ
937,I,N,F,P,INFP
938,I,N,F,P,INFP
939,I,N,T,P,INTP
940,I,S,T,P,ISTP
941,I,N,T,J,INTJ
942,I,N,F,P,INFP
943,I,S,T,J,ISTJ
944,I,N,F,J,INFJ
945,I,N,T,J,INTJ
946,I,N,F,P,INFP
947,I,S,F,J,ISFJ
948,I,N,F,J,INFJ
949,I,N,T,P,INTP
